LoanGuid,Product Type,Branch Channel,Loan Purpose,LoanAmount,Funded D,cycle_days
82508261,NONCONFORMING,Wholesale,Refinance CashOut,225000.0,2025-09-08,27
82508262,CONFORMING,Wholesale,Purchase,456000.0,2025-08-29,17
82508266,NONCONFORMING,Wholesale,Purchase,932000.0,2025-09-04,23
62508267,NONCONFORMING,Retail,Purchase,508000.0,2025-09-11,29
82508268,NONCONFORMING,Wholesale,Purchase,608000.0,2025-08-29,16
62508271,CONFORMING,Retail,Refinance CashOut,250000.0,2025-09-25,43
82508276,NONCONFORMING,Wholesale,Purchase,180000.0,2025-09-12,30
82508277,NONCONFORMING,Wholesale,Purchase,231750.0,2025-09-19,37
82508281,NONCONFORMING,Wholesale,Purchase,339500.0,2025-09-05,23
82508282,FHA BOND,Wholesale,Purchase,361875.0,2025-09-03,21
82508283,ZERO INTEREST PROGRAM,Wholesale,Purchase,13125.0,2025-09-03,21
82508284,NONCONFORMING,Wholesale,Purchase,332000.0,2025-09-09,27
82508286,NONCONFORMING,Wholesale,Refinance CashOut,1237500.0,2025-09-17,35
82508289,NONCONFORMING,Wholesale,Purchase,264000.0,2025-09-19,37
82508290,NONCONFORMING,Wholesale,Refinance CashOut,787500.0,2025-09-12,30
82508293,NONCONFORMING,Wholesale,Purchase,344000.0,2025-09-22,40
82508294,CONFORMING,Wholesale,Purchase,298775.0,2025-09-11,29
82508295,CONFORMING,Wholesale,Purchase,228000.0,2025-08-29,16
82309087,NONCONFORMING,Wholesale,Purchase,1350000.0,2023-10-17,35
82309098,2ND,Wholesale,Refinance CashOut,125000.0,2023-11-13,61
82309101,NONCONFORMING,Wholesale,Purchase,608000.0,2023-09-29,16
82309135,2ND,Wholesale,Refinance CashOut,140000.0,2023-10-10,25
82309136,NONCONFORMING,Wholesale,Purchase,177000.0,2023-10-04,19
82309137,NONCONFORMING,Wholesale,Purchase,1000000.0,2023-11-27,19
82309138,2ND,Wholesale,Purchase,200000.0,2023-09-29,14
