year,month,snapshot_day,method,already_funded,projected_pipeline,projected,actual,error_pct,direction,training_mode
2024,7,0,ML,0.0,62987656.42666994,62987656.42666994,85519586.0,-26.347098515339002,under,fixed
2024,7,1,Transition Tables,2037399.0,38510503.47156961,40547902.47156961,85519586.0,-52.58641398057093,under,fixed
2024,7,1,ML,2037399.0,62452518.41257195,64489917.41257195,85519586.0,-24.590470523826024,under,fixed
2024,7,8,Transition Tables,13779490.0,39448675.36135652,53228165.36135652,85519586.0,-37.75909373397046,under,fixed
2024,7,8,ML,13779490.0,57876509.662152246,71655999.66215225,85519586.0,-16.211007309890103,under,fixed
2024,7,15,Transition Tables,28576272.0,45994856.89151892,74571128.89151892,85519586.0,-12.802280296914766,under,fixed
2024,7,15,ML,28576272.0,49648413.786783054,78224685.78678305,85519586.0,-8.530092993220226,under,fixed
2024,7,22,Transition Tables,54273148.0,37305908.17192001,91579056.17192,85519586.0,7.085476503499446,over,fixed
2024,7,22,ML,54273148.0,25872441.48089824,80145589.48089823,85519586.0,-6.283936546537736,under,fixed
2024,8,0,Transition Tables,0.0,32222826.97640808,32222826.97640808,80721934.0,-60.081696040126985,under,fixed
2024,8,0,ML,0.0,60354015.73062198,60354015.73062198,80721934.0,-25.232198065742605,under,fixed
2024,8,1,Transition Tables,2463425.0,32351291.839915138,34814716.83991514,80721934.0,-56.87080931446074,under,fixed
2024,8,1,ML,2463425.0,59835592.352002546,62299017.352002546,80721934.0,-22.822689862705044,under,fixed
2024,8,8,Transition Tables,15512250.0,40476656.85329047,55988906.85329047,80721934.0,-30.63978515022885,under,fixed
2024,8,8,ML,15512250.0,59576488.561150275,75088738.56115028,80721934.0,-6.978518922564117,under,fixed
2024,8,15,Transition Tables,28669330.0,50168730.13771613,78838060.13771613,80721934.0,-2.333781871831602,under,fixed
2024,8,15,ML,28669330.0,50424194.835296944,79093524.83529694,80721934.0,-2.017306925157487,under,fixed
2024,8,22,Transition Tables,52196022.0,45808405.5650301,98004427.5650301,80721934.0,21.409910180088225,over,fixed
2024,8,22,ML,52196022.0,29971419.055619817,82167441.05561982,80721934.0,1.7907240126578496,over,fixed
2024,9,0,Transition Tables,0.0,43996438.82388705,43996438.82388705,81277004.0,-45.86852780168048,under,fixed
2024,9,0,ML,0.0,70844660.85622154,70844660.85622154,81277004.0,-12.83554096528762,under,fixed
2024,9,1,Transition Tables,0.0,43996438.82388705,43996438.82388705,81277004.0,-45.86852780168048,under,fixed
2024,9,1,ML,0.0,70673223.68711808,70673223.68711808,81277004.0,-13.046470454154433,under,fixed
2024,9,8,Transition Tables,14556340.0,45656530.56636197,60212870.56636197,81277004.0,-25.91647378345544,under,fixed
2024,9,8,ML,14556340.0,63706927.596287176,78263267.59628718,81277004.0,-3.7079816619628647,under,fixed
2024,9,15,Transition Tables,32316809.0,50244757.53518856,82561566.53518856,81277004.0,1.580474761580232,over,fixed
2024,9,15,ML,32316809.0,49801495.873709306,82118304.8737093,81277004.0,1.0351032054642493,over,fixed
2024,9,22,Transition Tables,48978811.0,54340401.61084862,103319212.61084862,81277004.0,27.11985866364934,over,fixed
2024,9,22,ML,48978811.0,31614523.730525065,80593334.73052506,81277004.0,-0.841159535697131,under,fixed
2024,10,0,Transition Tables,0.0,53452358.017418444,53452358.017418444,126058918.0,-57.597321264158055,under,fixed
2024,10,0,ML,0.0,99257196.55321944,99257196.55321944,126058918.0,-21.2612656621252,under,fixed
2024,10,1,Transition Tables,3420065.0,53992163.02402231,57412228.02402231,126058918.0,-54.45603616554736,under,fixed
