year,month,snapshot_day,method,already_funded,projected_pipeline,projected,actual,error_pct,direction
2024,11,8,Transition Tables,19978799.0,58716380.63950625,78695179.63950625,114798743.0,-31.4494413588603,under
2024,11,8,ML,19978799.0,83178517.55947913,103157316.55947913,114798743.0,-10.140726401961446,under
2024,11,15,Transition Tables,38623946.0,68284371.75258015,106908317.75258015,114798743.0,-6.873267982925431,under
2024,11,15,ML,38623946.0,65968920.5472157,104592866.5472157,114798743.0,-8.890233626324898,under
2024,11,22,Transition Tables,71647768.0,81732060.1230323,153379828.1230323,114798743.0,33.60758499161642,over
2024,11,22,ML,71647768.0,51821514.47793853,123469282.47793853,114798743.0,7.552817436283717,over
2024,12,1,Transition Tables,0.0,50177186.19339274,50177186.19339274,94320370.0,-46.801325956002145,under
2024,12,1,ML,0.0,75488868.38961747,75488868.38961747,94320370.0,-19.965466219420605,under
2024,12,8,Transition Tables,17736565.0,52284020.92039219,70020585.92039219,94320370.0,-25.76302879177405,under
2024,12,8,ML,17736565.0,68914487.65296847,86651052.65296847,94320370.0,-8.131135773779867,under
2024,12,15,Transition Tables,33838526.0,58562100.90575109,92400626.90575108,94320370.0,-2.035343048642537,under
2024,12,15,ML,33838526.0,58003811.1939056,91842337.19390559,94320370.0,-2.6272509385771152,under
2024,12,22,Transition Tables,60362776.0,62301213.83586875,122663989.83586875,94320370.0,30.050369645357357,over
2024,12,22,ML,60362776.0,39263983.844399646,99626759.84439965,94320370.0,5.625921361843307,over
2025,1,1,Transition Tables,0.0,42429981.34888993,42429981.34888993,79845963.0,-46.860204630646216,under
2025,1,1,ML,0.0,59072303.752265014,59072303.752265014,79845963.0,-26.01716914321014,under
2025,1,8,Transition Tables,14470905.0,43603921.9438012,58074826.9438012,79845963.0,-27.26642054050848,under
2025,1,8,ML,14470905.0,56866893.55854362,71337798.55854362,79845963.0,-10.655722746379022,under
2025,1,15,Transition Tables,34457740.0,38900944.97759846,73358684.97759846,79845963.0,-8.124741412914691,under
2025,1,15,ML,34457740.0,39144967.17297064,73602707.17297064,79845963.0,-7.819125216173249,under
2025,1,22,Transition Tables,44985830.0,47410143.84391779,92395973.84391779,79845963.0,15.717777546145678,over
2025,1,22,ML,44985830.0,33866805.67153892,78852635.67153892,79845963.0,-1.2440545409428911,under
2025,2,1,Transition Tables,0.0,39601174.23493706,39601174.23493706,78571970.0,-49.59885282889425,under
2025,2,1,ML,0.0,68331865.0844863,68331865.0844863,78571970.0,-13.032770993922762,under
2025,2,8,Transition Tables,12837602.0,45335757.43535483,58173359.43535483,78571970.0,-25.9616890917272,under
2025,2,8,ML,12837602.0,61196150.76421645,74033752.76421645,78571970.0,-5.775873044526627,under
2025,2,15,Transition Tables,34938631.0,46181819.24114349,81120450.2411435,78571970.0,3.2434979562603496,over
2025,2,15,ML,34938631.0,42227066.81638852,77165697.81638852,78571970.0,-1.789788627689343,under
2025,2,22,Transition Tables,55080977.0,48742898.79547675,103823875.79547675,78571970.0,32.13856773029459,over
2025,2,22,ML,55080977.0,27498772.841427818,82579749.84142782,78571970.0,5.100775558291103,over
2025,3,1,Transition Tables,0.0,43701552.31862474,43701552.31862474,102069492.0,-57.184510805026115,under
2025,3,1,ML,0.0,79826561.33839281,79826561.33839281,102069492.0,-21.791948040269656,under
2025,3,8,Transition Tables,14467470.0,49922305.170890875,64389775.170890875,102069492.0,-36.91574836985485,under
2025,3,8,ML,14467470.0,82555630.82045601,97023100.82045601,102069492.0,-4.944073964377119,under
2025,3,15,Transition Tables,31890735.0,59280079.31176414,91170814.31176415,102069492.0,-10.677703469157903,under
2025,3,15,ML,31890735.0,71143225.65759453,103033960.65759453,102069492.0,0.9449137432706453,over
2025,3,22,Transition Tables,55378318.0,62816973.17513467,118195291.17513467,102069492.0,15.79884337538848,over
2025,3,22,ML,55378318.0,43510512.072522864,98888830.07252286,102069492.0,-3.116172977011717,under
2025,4,1,Transition Tables,2190100.0,53154779.04178637,55344879.04178637,109199528.0,-49.317657268824114,under
2025,4,1,ML,2190100.0,95362275.53759179,97552375.53759179,109199528.0,-10.665936635191514,under
2025,4,8,Transition Tables,20411867.0,63621576.61132355,84033443.61132355,109199528.0,-23.04596443738882,under
