year,month,snapshot_day,approach,week,projected,actual,error_pct,is_known
2024,3,8,Distributional,Week 3,12630128.150938563,9160790.0,37.87160442427523,False
2024,3,8,Distributional,Week 4,17824995.499680106,23520991.0,-24.216647590740944,False
2024,3,8,Historical,Week 1,13422905.0,13422905.0,0.0,True
2024,3,8,Historical,Week 2,15530374.18555344,14353572.0,8.198671282336138,False
2024,3,8,Historical,Week 3,10946040.68679559,9160790.0,19.48795558893491,False
2024,3,8,Historical,Week 4,17962733.434741482,23520991.0,-23.63105179224174,False
2024,3,15,Median,Week 1,13422905.0,13422905.0,0.0,True
2024,3,15,Median,Week 2,14353572.0,14353572.0,0.0,True
2024,3,15,Median,Week 3,,9160790.0,,False
2024,3,15,Median,Week 4,,23520991.0,,False
2024,3,15,GBM,Week 1,13422905.0,13422905.0,0.0,True
2024,3,15,GBM,Week 2,14353572.0,14353572.0,0.0,True
2024,3,15,GBM,Week 3,7074220.183371091,9160790.0,-22.777182062124652,False
2024,3,15,GBM,Week 4,,23520991.0,,False
2024,3,15,Distributional,Week 1,13422905.0,13422905.0,0.0,True
2024,3,15,Distributional,Week 2,14353572.0,14353572.0,0.0,True
2024,3,15,Distributional,Week 3,17045731.1754743,9160790.0,86.07272053473882,False
2024,3,15,Distributional,Week 4,19823175.44154792,23520991.0,-15.721342516784606,False
2024,3,15,Historical,Week 1,13422905.0,13422905.0,0.0,True
2024,3,15,Historical,Week 2,14353572.0,14353572.0,0.0,True
2024,3,15,Historical,Week 3,10830707.538067736,9160790.0,18.228968659555953,False
2024,3,15,Historical,Week 4,13056709.806059873,23520991.0,-44.489116950642625,False
2024,4,0,Median,Week 1,16125478.412984218,15373359.0,4.892355749867146,False
2024,4,0,Median,Week 2,,13586567.0,,False
2024,4,0,Median,Week 3,14727919.997820616,18660968.0,-21.07633431545129,False
2024,4,0,Median,Week 4,,28433343.0,,False
2024,4,0,GBM,Week 1,16169443.033347346,15373359.0,5.1783350232525365,False
2024,4,0,GBM,Week 2,13697155.884667944,13586567.0,0.8139575263416002,False
2024,4,0,GBM,Week 3,24141623.441589054,18660968.0,29.369620276874457,False
2024,4,0,GBM,Week 4,,28433343.0,,False
2024,4,0,Distributional,Week 1,27409573.058172986,15373359.0,78.29267538846251,False
2024,4,0,Distributional,Week 2,14890918.891345846,13586567.0,9.600305149533694,False
2024,4,0,Distributional,Week 3,13123281.10247204,18660968.0,-29.67523923479189,False
2024,4,0,Distributional,Week 4,10554478.062437655,28433343.0,-62.879925647724036,False
2024,4,0,Historical,Week 1,11752215.779537737,15373359.0,-23.554665057013647,False
2024,4,0,Historical,Week 2,13402807.883405399,13586567.0,-1.3525058728566342,False
2024,4,0,Historical,Week 3,15449542.092201296,18660968.0,-17.20932112309878,False
2024,4,0,Historical,Week 4,25353094.715407252,28433343.0,-10.833225922793348,False
2024,4,8,Median,Week 1,15373359.0,15373359.0,0.0,True
2024,4,8,Median,Week 2,,13586567.0,,False
2024,4,8,Median,Week 3,11094289.318851296,18660968.0,-40.548157422212526,False
2024,4,8,Median,Week 4,,28433343.0,,False
2024,4,8,GBM,Week 1,15373359.0,15373359.0,0.0,True
2024,4,8,GBM,Week 2,12422583.640325956,13586567.0,-8.567163137487519,False
2024,4,8,GBM,Week 3,22384801.56427605,18660968.0,19.955200417663495,False
2024,4,8,GBM,Week 4,,28433343.0,,False
2024,4,8,Distributional,Week 1,15373359.0,15373359.0,0.0,True
2024,4,8,Distributional,Week 2,25364314.372175097,13586567.0,86.68670586304177,False
2024,4,8,Distributional,Week 3,15455772.056532651,18660968.0,-17.175936122216964,False
2024,4,8,Distributional,Week 4,17067556.200830363,28433343.0,-39.97344525815919,False
2024,4,8,Historical,Week 1,15373359.0,15373359.0,0.0,True
2024,4,8,Historical,Week 2,15167566.321724376,13586567.0,11.636488612056127,False
2024,4,8,Historical,Week 3,12544147.878243862,18660968.0,-32.77868608828941,False
2024,4,8,Historical,Week 4,20585268.313015565,28433343.0,-27.601660089650505,False
2024,4,15,Median,Week 1,15373359.0,15373359.0,0.0,True
2024,4,15,Median,Week 2,13586567.0,13586567.0,0.0,True
2024,4,15,Median,Week 3,,18660968.0,,False
2024,4,15,Median,Week 4,,28433343.0,,False
2024,4,15,GBM,Week 1,15373359.0,15373359.0,0.0,True
2024,4,15,GBM,Week 2,13586567.0,13586567.0,0.0,True
2024,4,15,GBM,Week 3,18650591.125654064,18660968.0,-0.05560737441881836,False
2024,4,15,GBM,Week 4,,28433343.0,,False
2024,4,15,Distributional,Week 1,15373359.0,15373359.0,0.0,True
2024,4,15,Distributional,Week 2,13586567.0,13586567.0,0.0,True
2024,4,15,Distributional,Week 3,28514570.117148902,18660968.0,52.80327428431849,False
2024,4,15,Distributional,Week 4,17174469.53879068,28433343.0,-39.5974313017267,False
2024,4,15,Historical,Week 1,15373359.0,15373359.0,0.0,True
2024,4,15,Historical,Week 2,13586567.0,13586567.0,0.0,True
2024,4,15,Historical,Week 3,13225277.410526274,18660968.0,-29.128663579905,False
2024,4,15,Historical,Week 4,16277624.468555935,28433343.0,-42.75163328998657,False
2024,5,0,Median,Week 1,14156836.93784035,12934470.0,9.450460187702705,False
2024,5,0,Median,Week 2,7720677.25298162,12487602.0,-38.173259742089634,False
2024,5,0,Median,Week 3,9938000.09977671,16314610.0,-39.085273262574404,False
2024,5,0,Median,Week 4,19142608.067424055,36440446.0,-47.46878765582602,False
2024,5,0,GBM,Week 1,10170345.297395553,12934470.0,-21.370220060075493,False
2024,5,0,GBM,Week 2,13909718.2057739,12487602.0,11.388224943218876,False
2024,5,0,GBM,Week 3,18321892.66439337,16314610.0,12.303589631584016,False
2024,5,0,GBM,Week 4,,36440446.0,,False
2024,5,0,Distributional,Week 1,18014017.04577647,12934470.0,39.27139686261958,False
2024,5,0,Distributional,Week 2,13497309.442277053,12487602.0,8.085679238312155,False
2024,5,0,Distributional,Week 3,13046669.046606079,16314610.0,-20.030763551160103,False
2024,5,0,Distributional,Week 4,14493001.43143689,36440446.0,-60.228254529494805,False
2024,5,0,Historical,Week 1,10525815.78483409,12934470.0,-18.621978443383526,False
2024,5,0,Historical,Week 2,12004160.698434386,12487602.0,-3.8713701923364754,False
2024,5,0,Historical,Week 3,13837308.39129875,16314610.0,-15.184559169365677,False
2024,5,0,Historical,Week 4,22707377.872900512,36440446.0,-37.68633382560545,False
2024,5,8,Median,Week 1,12934470.0,12934470.0,0.0,True
2024,5,8,Median,Week 2,,12487602.0,,False
2024,5,8,Median,Week 3,5919321.430104528,16314610.0,-63.717665147346295,False
2024,5,8,Median,Week 4,20715307.056667212,36440446.0,-43.152981561567024,False
2024,5,8,GBM,Week 1,12934470.0,12934470.0,0.0,True
2024,5,8,GBM,Week 2,12976009.417045016,12487602.0,3.911138560029506,False
2024,5,8,GBM,Week 3,11310079.249994917,16314610.0,-30.67514791959528,False
2024,5,8,GBM,Week 4,,36440446.0,,False
2024,5,8,Distributional,Week 1,12934470.0,12934470.0,0.0,True
2024,5,8,Distributional,Week 2,20612128.414957486,12487602.0,65.06074116517716,False
2024,5,8,Distributional,Week 3,14370292.179279888,16314610.0,-11.91764817375415,False
2024,5,8,Distributional,Week 4,21675661.90178854,36440446.0,-40.51757241997384,False
2024,5,8,Historical,Week 1,12934470.0,12934470.0,0.0,True
2024,5,8,Historical,Week 2,14278425.517895084,12487602.0,14.34081193406936,False
2024,5,8,Historical,Week 3,12443330.99107118,16314610.0,-23.72890929620028,False
2024,5,8,Historical,Week 4,20419825.216116805,36440446.0,-43.96384386701303,False
2024,5,15,Median,Week 1,12934470.0,12934470.0,0.0,True
2024,5,15,Median,Week 2,12487602.0,12487602.0,0.0,True
2024,5,15,Median,Week 3,,16314610.0,,False
2024,5,15,Median,Week 4,15090478.963457746,36440446.0,-58.58865458601207,False
2024,5,15,GBM,Week 1,12934470.0,12934470.0,0.0,True
2024,5,15,GBM,Week 2,12487602.0,12487602.0,0.0,True
2024,5,15,GBM,Week 3,14380479.499473304,16314610.0,-11.855205245646058,False
2024,5,15,GBM,Week 4,,36440446.0,,False
2024,5,15,Distributional,Week 1,12934470.0,12934470.0,0.0,True
2024,5,15,Distributional,Week 2,12487602.0,12487602.0,0.0,True
2024,5,15,Distributional,Week 3,25788618.10433887,16314610.0,58.07069923423771,False
2024,5,15,Distributional,Week 4,24697876.24751036,36440446.0,-32.22400118947403,False
2024,5,15,Historical,Week 1,12934470.0,12934470.0,0.0,True
2024,5,15,Historical,Week 2,12487602.0,12487602.0,0.0,True
2024,5,15,Historical,Week 3,12045260.385628121,16314610.0,-26.168873263730358,False
2024,5,15,Historical,Week 4,19274404.735389736,36440446.0,-47.10711077633425,False
2024,6,0,Median,Week 1,11217205.48053398,9387145.0,19.495389498446862,False
2024,6,0,Median,Week 2,6752507.131501714,15653497.0,-56.86262864137187,False
2024,6,0,Median,Week 3,6317110.117383375,15607878.0,-59.526143673192635,False
2024,6,0,Median,Week 4,,19262271.0,,False
2024,6,0,GBM,Week 1,7310844.65920333,9387145.0,-22.11854979119498,False
2024,6,0,GBM,Week 2,9458087.251239639,15653497.0,-39.57843891853916,False
2024,6,0,GBM,Week 3,22713413.127127774,15607878.0,45.52531181450659,False
2024,6,0,GBM,Week 4,,19262271.0,,False
2024,6,0,Distributional,Week 1,15710338.490999589,9387145.0,67.36013442851461,False
2024,6,0,Distributional,Week 2,11476678.055336788,15653497.0,-26.682976619621872,False
2024,6,0,Distributional,Week 3,11539979.821523828,15607878.0,-26.063108505052202,False
2024,6,0,Distributional,Week 4,11612961.536672018,19262271.0,-39.711358350881795,False
2024,6,0,Historical,Week 1,8970374.153074212,9387145.0,-4.439804082346524,False
2024,6,0,Historical,Week 2,10230258.163337445,15653497.0,-34.64554173845343,False
2024,6,0,Historical,Week 3,11792514.336063854,15607878.0,-24.44511460133239,False
2024,6,0,Historical,Week 4,19351818.397643246,19262271.0,0.46488494343811154,False
2024,6,8,Median,Week 1,9387145.0,9387145.0,0.0,True
2024,6,8,Median,Week 2,,15653497.0,,False
2024,6,8,Median,Week 3,4415565.799107127,15607878.0,-71.7093777955778,False
2024,6,8,Median,Week 4,,19262271.0,,False
2024,6,8,GBM,Week 1,9387145.0,9387145.0,0.0,True
2024,6,8,GBM,Week 2,11097843.920580367,15653497.0,-29.103101239420386,False
2024,6,8,GBM,Week 3,16127153.619085584,15607878.0,3.327009726021589,False
2024,6,8,GBM,Week 4,,19262271.0,,False
2024,6,8,Distributional,Week 1,9387145.0,9387145.0,0.0,True
2024,6,8,Distributional,Week 2,20078000.024170116,15653497.0,28.265268931090066,False
2024,6,8,Distributional,Week 3,12765857.145340227,15607878.0,-18.20888691377376,False
2024,6,8,Distributional,Week 4,15292515.77027237,19262271.0,-20.608967809287023,False
2024,6,8,Historical,Week 1,9387145.0,9387145.0,0.0,True
2024,6,8,Historical,Week 2,9771831.811084663,15653497.0,-37.574129211608984,False
2024,6,8,Historical,Week 3,11264081.989132075,15607878.0,-27.830791673717115,False
2024,6,8,Historical,Week 4,18484647.36678084,19262271.0,-4.037029866411703,False
2024,6,15,Median,Week 1,9387145.0,9387145.0,0.0,True
2024,6,15,Median,Week 2,15653497.0,15653497.0,0.0,True
2024,6,15,Median,Week 3,,15607878.0,,False
2024,6,15,Median,Week 4,,19262271.0,,False
2024,6,15,GBM,Week 1,9387145.0,9387145.0,0.0,True
2024,6,15,GBM,Week 2,15653497.0,15653497.0,0.0,True
2024,6,15,GBM,Week 3,14573378.078113249,15607878.0,-6.628062584079345,False
2024,6,15,GBM,Week 4,,19262271.0,,False
2024,6,15,Distributional,Week 1,9387145.0,9387145.0,0.0,True
2024,6,15,Distributional,Week 2,15653497.0,15653497.0,0.0,True
2024,6,15,Distributional,Week 3,21144038.376633823,15607878.0,35.47029504352752,False
2024,6,15,Distributional,Week 4,14539203.926619846,19262271.0,-24.519783121004547,False
2024,6,15,Historical,Week 1,9387145.0,9387145.0,0.0,True
2024,6,15,Historical,Week 2,15653497.0,15653497.0,0.0,True
2024,6,15,Historical,Week 3,8350038.26518597,15607878.0,-46.50113061374538,False
2024,6,15,Historical,Week 4,13702626.896715438,19262271.0,-28.86286930177943,False
2024,7,0,Median,Week 1,,12405760.0,,False
2024,7,0,Median,Week 2,,13700512.0,,False
2024,7,0,Median,Week 3,14357912.145964414,23504426.0,-38.91400646855016,False
2024,7,0,Median,Week 4,,35908888.0,,False
2024,7,0,GBM,Week 1,10188190.538256412,12405760.0,-17.875321316417438,False
2024,7,0,GBM,Week 2,15993070.264777267,13700512.0,16.73337656853457,False
2024,7,0,GBM,Week 3,24210971.04583553,23504426.0,3.0060085102079435,False
2024,7,0,GBM,Week 4,,35908888.0,,False
2024,7,0,Distributional,Week 1,21101777.51431574,12405760.0,70.09661249545162,False
2024,7,0,Distributional,Week 2,15334184.40255069,13700512.0,11.92417044378115,False
2024,7,0,Distributional,Week 3,14016212.661559114,23504426.0,-40.36777302470984,False
2024,7,0,Distributional,Week 4,12479672.53586521,35908888.0,-65.24628516520698,False
2024,7,0,Historical,Week 1,11211802.843947249,12405760.0,-9.624216138735164,False
2024,7,0,Historical,Week 2,12786494.254614,13700512.0,-6.671413049278748,False
2024,7,0,Historical,Week 3,14739111.603840766,23504426.0,-37.29218657013463,False
2024,7,0,Historical,Week 4,24187260.067841258,35908888.0,-32.64269261737858,False
2024,7,8,Median,Week 1,12405760.0,12405760.0,0.0,True
2024,7,8,Median,Week 2,,13700512.0,,False
2024,7,8,Median,Week 3,11003208.496592777,23504426.0,-53.18665303040041,False
2024,7,8,Median,Week 4,,35908888.0,,False
2024,7,8,GBM,Week 1,12405760.0,12405760.0,0.0,True
2024,7,8,GBM,Week 2,12635480.472192843,13700512.0,-7.773662238368592,False
2024,7,8,GBM,Week 3,22718552.848926242,23504426.0,-3.3435113500485296,False
2024,7,8,GBM,Week 4,,35908888.0,,False
2024,7,8,Distributional,Week 1,12405760.0,12405760.0,0.0,True
2024,7,8,Distributional,Week 2,25538607.26179791,13700512.0,86.40622526952211,False
2024,7,8,Distributional,Week 3,15069397.068018865,23504426.0,-35.88698116678593,False
2024,7,8,Distributional,Week 4,18641477.808321726,35908888.0,-48.086730482097565,False
2024,7,8,Historical,Week 1,12405760.0,12405760.0,0.0,True
2024,7,8,Historical,Week 2,13122661.461416906,13700512.0,-4.2177295168464815,False
2024,7,8,Historical,Week 3,13543103.260943627,23504426.0,-42.38062541521487,False
2024,7,8,Historical,Week 4,22224579.710266463,35908888.0,-38.10841563719137,False
2024,7,15,Median,Week 1,12405760.0,12405760.0,0.0,True
2024,7,15,Median,Week 2,13700512.0,13700512.0,0.0,True
2024,7,15,Median,Week 3,,23504426.0,,False
2024,7,15,Median,Week 4,,35908888.0,,False
2024,7,15,GBM,Week 1,12405760.0,12405760.0,0.0,True
2024,7,15,GBM,Week 2,13700512.0,13700512.0,0.0,True
2024,7,15,GBM,Week 3,25703750.644185483,23504426.0,9.357065959345205,False
2024,7,15,GBM,Week 4,,35908888.0,,False
2024,7,15,Distributional,Week 1,12405760.0,12405760.0,0.0,True
2024,7,15,Distributional,Week 2,13700512.0,13700512.0,0.0,True
2024,7,15,Distributional,Week 3,30557255.672315914,23504426.0,30.00638974257833,False
2024,7,15,Distributional,Week 4,21559736.781685576,35908888.0,-39.959887419277436,False
2024,7,15,Historical,Week 1,12405760.0,12405760.0,0.0,True
2024,7,15,Historical,Week 2,13700512.0,13700512.0,0.0,True
2024,7,15,Historical,Week 3,14087728.826107236,23504426.0,-40.06350622598809,False
2024,7,15,Historical,Week 4,19064990.894124694,35908888.0,-46.90732028759928,False
2024,8,0,Median,Week 1,13075380.303151593,12457065.0,4.963571299913684,False
2024,8,0,Median,Week 2,6922300.100602297,14293815.0,-51.57136075566741,False
2024,8,0,Median,Week 3,15452429.390761914,21950172.0,-29.60224006098032,False
2024,8,0,Median,Week 4,,32020882.0,,False
2024,8,0,GBM,Week 1,6616973.181072117,12457065.0,-46.881764034528864,False
2024,8,0,GBM,Week 2,13004081.6115723,14293815.0,-9.02301721708096,False
2024,8,0,GBM,Week 3,29493525.20068973,21950172.0,34.365804517111435,False
2024,8,0,GBM,Week 4,,32020882.0,,False
2024,8,0,Distributional,Week 1,17766554.909892168,12457065.0,42.622318418441004,False
2024,8,0,Distributional,Week 2,13782370.544691958,14293815.0,-3.5780822356245863,False
2024,8,0,Distributional,Week 3,14132348.795052513,21950172.0,-35.61622754002787,False
2024,8,0,Distributional,Week 4,14617354.529526088,32020882.0,-54.35055621039393,False
2024,8,0,Historical,Week 1,10743014.800050711,12457065.0,-13.759663291066465,False
2024,8,0,Historical,Week 2,12251865.193316262,14293815.0,-14.285548026777581,False
2024,8,0,Historical,Week 3,14122839.680965545,21950172.0,-35.6595489048307,False
2024,8,0,Historical,Week 4,23175942.04055884,32020882.0,-27.622412023007858,False
2024,8,8,Median,Week 1,12457065.0,12457065.0,0.0,True
2024,8,8,Median,Week 2,,14293815.0,,False
2024,8,8,Median,Week 3,6166014.539695006,21950172.0,-71.90903770733547,False
2024,8,8,Median,Week 4,,32020882.0,,False
2024,8,8,GBM,Week 1,12457065.0,12457065.0,0.0,True
2024,8,8,GBM,Week 2,15276745.71492263,14293815.0,6.876615619571328,False
2024,8,8,GBM,Week 3,12991071.994525079,21950172.0,-40.81562552436911,False
2024,8,8,GBM,Week 4,,32020882.0,,False
2024,8,8,Distributional,Week 1,12457065.0,12457065.0,0.0,True
2024,8,8,Distributional,Week 2,24431974.71191569,14293815.0,70.92689888539687,False
2024,8,8,Distributional,Week 3,15287053.094525192,21950172.0,-30.355656919111198,False
2024,8,8,Distributional,Week 4,22912154.309917264,32020882.0,-28.446211100877033,False
2024,8,8,Historical,Week 1,12457065.0,12457065.0,0.0,True
2024,8,8,Historical,Week 2,15149212.177913507,14293815.0,5.984386798860259,False
2024,8,8,Historical,Week 3,13940898.323309166,21950172.0,-36.488432421808966,False
2024,8,8,Historical,Week 4,22877371.60748171,32020882.0,-28.554836161347115,False
2024,8,15,Median,Week 1,12457065.0,12457065.0,0.0,True
2024,8,15,Median,Week 2,14293815.0,14293815.0,0.0,True
2024,8,15,Median,Week 3,,21950172.0,,False
2024,8,15,Median,Week 4,,32020882.0,,False
2024,8,15,GBM,Week 1,12457065.0,12457065.0,0.0,True
2024,8,15,GBM,Week 2,14293815.0,14293815.0,0.0,True
2024,8,15,GBM,Week 3,21804529.79159613,21950172.0,-0.663512834450092,False
2024,8,15,GBM,Week 4,,32020882.0,,False
2024,8,15,Distributional,Week 1,12457065.0,12457065.0,0.0,True
2024,8,15,Distributional,Week 2,14293815.0,14293815.0,0.0,True
2024,8,15,Distributional,Week 3,30185642.99534341,21950172.0,37.51893604908157,False
2024,8,15,Distributional,Week 4,22141963.59510139,32020882.0,-30.851487491501985,False
2024,8,15,Historical,Week 1,12457065.0,12457065.0,0.0,True
2024,8,15,Historical,Week 2,14293815.0,14293815.0,0.0,True
